31637
17
6422823000
6422823000
0 1 1 0 574 0 (D 0,1,1) (D 0,1,1)
0 1 2 0 968 0 (D 0,1,1) (D 0,1,1)
0 1 3 0 441 0 (D 0,1,1) (D 0,1,1)
0 1 4 0 446 0 (D 0,1,1) (D 0,1,1)
0 1 5 0 621 0 (D 0,1,1) (D 0,1,1)
0 1 6 0 1005 0 (D 0,1,1) (D 0,1,1)
0 1 7 0 672 0 (D 0,1,1) (D 0,1,1)
0 1 8 0 593 0 (D 0,1,1) (D 0,1,1)
0 1 9 0 841 0 (D 0,1,1) (D 0,1,1)
0 1 10 0 559 0 (D 0,1,1) (D 0,1,1)
0 1 11 0 942 0 (D 0,1,1) (D 0,1,1)
0 1 12 0 447 0 (D 0,1,1) (D 0,1,1)
0 1 13 0 383 0 (D 0,1,1) (D 0,1,1)
0 1 14 0 218 0 (D 0,1,1) (D 0,1,1)
0 1 15 0 772 0 (D 0,1,1) (D 0,1,1)
0 1 16 0 797 0 (D 0,1,1) (D 0,1,1)
0 1 17 0 482 0 (D 0,1,1) (D 0,1,1)
