26354
12
282615989
1748194900
 0 1 1 1851 2517 11 (D 0,1,1) (S 18,43,43) (S 28,41,41) (S 47,44,44) (S 37,53,53) (S 23,69,69) (S 60,68,68) (S 10,61,61) (S 9,52,52) (S 36,51,51) (D 0,1,1)
 0 1 2 1706 2063 8 (D 0,1,1) (S 62,22,22) (S 48,28,28) (S 68,28,38) (S 8,38,38) (S 42,37,37) (S 57,36,36) (D 0,1,1)
 0 1 3 1807 2198 9 (D 0,1,1) (S 7,46,46) (S 46,55,55) (S 66,55,56) (S 38,56,56) (S 2,47,47) (S 70,47,48) (S 53,48,48) (D 0,1,1)
 0 1 4 1861 2446 10 (D 0,1,1) (S 45,35,35) (S 11,65,65) (S 82,65,66) (S 33,66,66) (S 15,67,67) (S 39,60,60) (S 74,51,50) (S 41,50,50) (D 0,1,1)
 0 1 5 1634 2110 8 (D 0,1,1) (S 56,34,34) (S 54,49,49) (S 67,49,64) (S 17,64,64) (S 13,63,63) (S 73,63,55) (D 0,1,1)
 0 1 6 1860 2161 8 (D 0,1,1) (S 75,4,11) (S 61,11,11) (S 72,11,5) (S 71,5,12) (S 25,12,12) (S 51,20,20) (D 0,1,1)
 0 1 7 1789 2289 8 (D 0,1,1) (S 58,27,27) (S 79,35,48) (S 29,57,57) (S 55,58,58) (S 44,59,59) (S 81,59,50) (D 0,1,1)
 0 1 8 1590 1940 8 (D 0,1,1) (S 19,26,26) (S 31,45,45) (S 40,62,62) (S 78,62,54) (S 4,33,33) (S 22,32,32) (D 0,1,1)
 0 1 9 1841 2049 8 (D 0,1,1) (S 59,16,16) (S 3,17,17) (S 14,18,18) (S 69,18,19) (S 64,19,19) (S 6,10,10) (D 0,1,1)
 0 1 10 1790 2271 8 (D 0,1,1) (S 12,9,9) (S 49,29,29) (S 1,39,39) (S 77,39,40) (S 43,40,40) (S 26,42,42) (D 0,1,1)
 0 1 11 1839 2388 13 (D 0,1,1) (S 50,2,2) (S 63,7,7) (S 65,8,8) (S 5,15,15) (S 27,25,25) (S 52,31,31) (S 30,14,14) (S 16,24,24) (S 20,23,23) (S 35,21,21) (S 76,21,20) (D 0,1,1)
 0 1 12 1607 1922 7 (D 0,1,1) (S 32,3,3) (S 21,4,4) (S 34,5,5) (S 24,6,6) (S 80,16,1) (D 0,1,1)
