317
10
51100760
14357740
 0 1 1 50 51  10 (D 0,1,1) (S 43,5,6) (S 46,11,12) (S 56,12,18) (S 12,18,18) (S 23,21,19) (S 54,13,12) (S 8,12,12) (S 29,12,8) (D 0,1,1)
 0 1 2 50 34  9 (D 0,1,1) (S 32,31,29) (S 24,27,24) (S 21,24,23) (S 25,23,25) (S 14,25,25) (S 37,23,26) (S 64,29,30) (D 0,1,1)
 0 1 3 45 25  10 (D 0,1,1) (S 27,1,31) (S 57,31,5) (S 4,5,5) (S 28,31,28) (S 41,28,26) (S 15,26,26) (S 16,27,27) (S 59,29,28) (D 0,1,1)
 0 1 4 50 34  7 (D 0,1,1) (S 61,1,2) (S 26,4,13) (S 18,13,19) (S 13,19,19) (S 33,13,9) (D 0,1,1)
 0 1 5 50 26  11 (D 0,1,1) (S 34,5,10) (S 45,10,14) (S 39,14,10) (S 58,10,16) (S 11,16,16) (S 62,17,11) (S 42,11,6) (S 5,6,6) (S 31,6,31) (D 0,1,1)
 0 1 6 39 21  5 (D 0,1,1) (S 6,7,7) (S 52,7,8) (S 7,8,8) (D 0,1,1)
 0 1 7 50 54  9 (D 0,1,1) (S 3,4,4) (S 35,19,22) (S 22,20,22) (S 19,22,21) (S 53,21,18) (S 51,18,12) (S 49,12,11) (D 0,1,1)
 0 1 8 17 8  4 (D 0,1,1) (S 36,1,30) (S 17,30,30) (D 0,1,1)
 0 1 9 50 42  10 (D 0,1,1) (S 38,7,6) (S 40,6,11) (S 30,11,10) (S 55,17,16) (S 10,15,15) (S 60,15,14) (S 9,14,14) (S 48,10,5) (D 0,1,1)
 0 1 10 50 22  9 (D 0,1,1) (S 1,2,2) (S 50,2,3) (S 2,3,3) (S 44,9,4) (S 20,4,3) (S 47,3,2) (S 63,2,1) (D 0,1,1)
