12028
20
3653328600
3653328600
0 1 1 0 72 0 (D 0,1,1) (D 0,1,1)
0 1 2 0 298 0 (D 0,1,1) (D 0,1,1)
0 1 3 0 294 0 (D 0,1,1) (D 0,1,1)
0 1 4 0 74 0 (D 0,1,1) (D 0,1,1)
0 1 5 0 1059 0 (D 0,1,1) (D 0,1,1)
0 1 6 0 1024 0 (D 0,1,1) (D 0,1,1)
0 1 7 0 770 0 (D 0,1,1) (D 0,1,1)
0 1 8 0 579 0 (D 0,1,1) (D 0,1,1)
0 1 9 0 729 0 (D 0,1,1) (D 0,1,1)
0 1 10 0 1064 0 (D 0,1,1) (D 0,1,1)
0 1 11 0 669 0 (D 0,1,1) (D 0,1,1)
0 1 12 0 648 0 (D 0,1,1) (D 0,1,1)
0 1 13 0 652 0 (D 0,1,1) (D 0,1,1)
0 1 14 0 659 0 (D 0,1,1) (D 0,1,1)
0 1 15 0 811 0 (D 0,1,1) (D 0,1,1)
0 1 16 0 666 0 (D 0,1,1) (D 0,1,1)
0 1 17 0 516 0 (D 0,1,1) (D 0,1,1)
0 1 18 0 476 0 (D 0,1,1) (D 0,1,1)
0 1 19 0 522 0 (D 0,1,1) (D 0,1,1)
0 1 20 0 446 0 (D 0,1,1) (D 0,1,1)
