181
10
34022802
1257936
 0 1 1 27 23  7 (D 0,1,1) (S 25,1,6) (S 33,6,7) (S 22,3,7) (S 38,3,8) (S 19,8,11) (D 0,1,1)
 0 1 2 26 16  7 (D 0,1,1) (S 40,1,10) (S 3,4,4) (S 46,4,7) (S 18,7,9) (S 23,3,10) (D 0,1,1)
 0 1 3 27 21  7 (D 0,1,1) (S 34,1,11) (S 16,11,6) (S 44,6,10) (S 13,3,2) (S 39,2,11) (D 0,1,1)
 0 1 4 25 9  4 (D 0,1,1) (S 31,2,8) (S 6,8,8) (D 0,1,1)
 0 1 5 27 6  6 (D 0,1,1) (S 1,2,2) (S 26,2,4) (S 48,4,10) (S 8,10,10) (D 0,1,1)
 0 1 6 27 10  6 (D 0,1,1) (S 35,1,5) (S 4,5,5) (S 14,5,4) (S 29,4,11) (D 0,1,1)
 0 1 7 27 23  7 (D 0,1,1) (S 9,1,4) (S 27,4,9) (S 7,9,9) (S 12,9,6) (S 45,2,10) (D 0,1,1)
 0 1 8 27 19  7 (D 0,1,1) (S 36,1,7) (S 5,7,7) (S 20,3,9) (S 17,9,5) (S 30,3,11) (D 0,1,1)
 0 1 9 26 34  9 (D 0,1,1) (S 41,1,3) (S 37,3,5) (S 32,5,8) (S 11,8,6) (S 42,2,6) (S 24,2,5) (S 43,5,11) (D 0,1,1)
 0 1 10 27 20  8 (D 0,1,1) (S 15,1,2) (S 28,2,7) (S 2,3,3) (S 21,3,4) (S 47,4,8) (S 10,8,1) (D 0,1,1)
