482
10
149509478
66115068
 0 1 1 75 52  12 (D 0,1,1) (S 14,20,20) (S 45,20,21) (S 105,21,22) (S 96,31,37) (S 24,37,37) (S 99,37,38) (S 25,38,38) (S 63,38,28) (S 112,28,32) (S 22,32,32) (D 0,1,1)
 0 1 2 75 63  14 (D 0,1,1) (S 3,6,6) (S 68,19,26) (S 17,26,26) (S 78,26,29) (S 19,29,29) (S 23,33,33) (S 65,39,29) (S 40,33,40) (S 76,40,47) (S 31,46,46) (S 39,27,21) (S 49,21,13) (D 0,1,1)
 0 1 3 73 63  18 (D 0,1,1) (S 81,6,13) (S 74,23,31) (S 71,31,32) (S 109,37,43) (S 28,43,43) (S 83,43,50) (S 108,50,45) (S 30,45,45) (S 35,50,50) (S 55,50,44) (S 29,44,44) (S 72,44,42) (S 27,42,42) (S 79,42,36) (S 70,35,34) (S 43,34,26) (D 0,1,1)
 0 1 4 75 36  12 (D 0,1,1) (S 107,6,12) (S 37,13,14) (S 10,14,14) (S 11,15,15) (S 77,23,24) (S 16,24,24) (S 66,24,23) (S 104,23,22) (S 15,22,22) (S 102,22,21) (D 0,1,1)
 0 1 5 74 55  13 (D 0,1,1) (S 47,15,9) (S 6,9,9) (S 54,9,3) (S 36,3,4) (S 94,4,10) (S 89,10,17) (S 57,17,16) (S 12,16,16) (S 93,16,9) (S 62,9,8) (S 75,7,6) (D 0,1,1)
 0 1 6 75 54  18 (D 0,1,1) (S 87,12,11) (S 51,11,19) (S 67,18,26) (S 97,26,30) (S 20,30,30) (S 42,27,36) (S 38,36,35) (S 98,35,41) (S 34,49,49) (S 101,49,41) (S 92,41,48) (S 88,48,41) (S 26,41,41) (S 50,41,40) (S 56,40,34) (S 86,30,26) (D 0,1,1)
 0 1 7 71 48  11 (D 0,1,1) (S 100,1,6) (S 41,20,19) (S 64,18,29) (S 53,33,34) (S 18,27,27) (S 48,27,31) (S 21,31,31) (S 95,31,23) (S 52,23,15) (D 0,1,1)
 0 1 8 63 19  10 (D 0,1,1) (S 2,5,5) (S 61,5,11) (S 7,11,11) (S 80,11,12) (S 8,12,12) (S 9,13,13) (S 85,13,6) (S 82,6,1) (D 0,1,1)
 0 1 9 48 22  8 (D 0,1,1) (S 4,7,7) (S 111,7,8) (S 5,8,8) (S 110,8,7) (S 1,2,2) (S 69,2,1) (D 0,1,1)
 0 1 10 75 70  16 (D 0,1,1) (S 13,17,17) (S 58,17,25) (S 59,25,28) (S 91,28,38) (S 46,38,43) (S 106,43,42) (S 73,36,42) (S 84,42,41) (S 33,48,48) (S 44,48,47) (S 32,47,47) (S 103,47,40) (S 90,34,30) (S 60,18,19) (D 0,1,1)
