285
11
1621350900
1751077305
0 1 1 27 34 8 (D 1,1,1) (S 40,13,13) (S 7,18,21) (S 21,18,25) (S 16,25,26) (S 20,26,27) (S 35,27,27) (D 1,1,1)
0 1 2 16 37 6 (D 1,1,1) (S 23,13,15) (S 36,15,15) (S 5,15,17) (S 10,16,17) (D 1,1,1)
0 1 3 8 32 6 (D 1,1,1) (S 11,14,20) (S 28,20,20) (S 25,14,14) (S 30,12,12) (D 1,1,1)
0 1 4 7 2 3 (D 1,1,1) (S 13,1,19) (D 1,1,1)
0 1 5 8 10 3 (D 1,1,1) (S 1,1,17) (D 1,1,1)
0 1 6 15 26 6 (D 1,1,1) (S 17,4,6) (S 38,6,6) (S 26,3,3) (S 18,3,4) (D 1,1,1)
0 1 7 11 30 7 (D 1,1,1) (S 34,2,2) (S 19,2,1) (S 31,23,23) (S 33,22,22) (S 2,22,23) (D 1,1,1)
0 1 8 17 32 6 (D 1,1,1) (S 37,4,4) (S 14,4,10) (S 6,10,11) (S 4,7,11) (D 1,1,1)
0 1 9 9 21 6 (D 1,1,1) (S 15,6,8) (S 32,8,8) (S 9,8,24) (S 29,24,24) (D 1,1,1)
0 1 10 8 25 6 (D 1,1,1) (S 22,3,6) (S 39,5,5) (S 8,5,9) (S 24,12,19) (D 1,1,1)
0 1 11 17 36 6 (D 1,1,1) (S 0,14,21) (S 27,21,21) (S 3,21,22) (S 12,23,24) (D 1,1,1)
