133
11
408271200
1751077304
0 1 1 26 15 7 (D 1,1,1) (S 0,1,4) (S 29,4,4) (S 17,6,8) (S 2,8,9) (S 9,9,10) (D 1,1,1)
0 1 2 9 12 5 (D 1,1,1) (S 7,1,6) (S 27,6,6) (S 14,4,9) (D 1,1,1)
0 1 3 5 4 3 (D 1,1,1) (S 18,1,10) (D 1,1,1)
0 1 4 13 11 5 (D 1,1,1) (S 11,1,5) (S 31,5,5) (S 16,5,10) (D 1,1,1)
0 1 5 14 13 6 (D 1,1,1) (S 4,1,7) (S 30,7,7) (S 25,7,10) (S 20,10,11) (D 1,1,1)
0 1 6 15 13 5 (D 1,1,1) (S 21,2,8) (S 28,8,8) (S 8,2,6) (D 1,1,1)
0 1 7 16 4 5 (D 1,1,1) (S 23,1,2) (S 32,2,2) (S 13,2,11) (D 1,1,1)
0 1 8 13 11 5 (D 1,1,1) (S 3,4,7) (S 33,3,3) (S 24,3,10) (D 1,1,1)
0 1 9 15 12 5 (D 1,1,1) (S 15,1,9) (S 5,9,11) (S 6,1,11) (D 1,1,1)
0 1 10 19 19 5 (D 1,1,1) (S 19,2,5) (S 26,3,9) (S 10,2,4) (D 1,1,1)
0 1 11 6 19 5 (D 1,1,1) (S 22,6,9) (S 1,3,5) (S 12,5,11) (D 1,1,1)
